name,year,mileage,transmissin,fuel,link,warranty,price

Toyota Yaris 1.5L Active Plus,2020-11-25,4 000,Automatinė,Benzinas,https://www.autotoja.lt/toyota/naudoti-automobiliai/toyota-yaris-1-5l-active-plus-2/,2021 07 15,16900 €

Toyota Auris 1.6L Active Plus,2018 05 30,57 100,Mechaninė,Benzinas,https://www.autotoja.lt/toyota/naudoti-automobiliai/toyota-auris-1-6l-active-plus/,TOYOTA PLUS,12600 €

Toyota Auris 1.4D,2016 09 09,78000,Mechaninė,Dyzelinas,https://www.autotoja.lt/toyota/naudoti-automobiliai/toyota-auris-1-4d/,TOYOTA PLUS,9300 €

Toyota Corolla 1.8L Hybrid Active,2020 05 19,18 100,Automatinė,Benzinas/Elektra,https://www.autotoja.lt/toyota/naudoti-automobiliai/toyota-corolla-1-6-active-2-2/,TOYOTA PLUS,19900 €




